CLiver,KGIb,Kfeces,Particle size,Exposure time,Exposure dose
0.115783065,4.28E-03,0.0324,0.5,14,0.833333333
0.164080678,1.00E-04,0.1562,0.5,90,50
0.062603842,1.07E-04,0.3293,5,90,50
0.000684807,4.01E-05,0.508,6,2,5
0.001031195,3.42E-05,0.5046,1,2,5
0.000790801,4.22E-05,0.55,0.22,2,5
0.000940743,4.23E-05,0.548,0.02,2,5
77.32083301,0.00274,4.77E-02,0.5,1,250
69.83414954,0.35,0.1125,0.8,35,40.5
9.499268147,0.01168,1.11E-01,0.025,7,50
10.16769129,0.01178,0.133,0.05,7,50
7.674061536,0.009,0.1372,0.1,7,50
8.69E-09,2.37E-09,0.55,0.5,112,9.739130435
7.20E-11,1.66E-12,0.548,0.05,112,9.739130435
15.8901319,0.33,0.55,0.5,56,20.83333333
0.606218392,0.0077655,0.00005439,5,56,20.83333333
